Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
IE/SPO.IE.IE0001RSample2_7018,7018,2016-01-01 00:00:00,2016-02-01 00:00:00,0.150000000000000000,ug.m-2.day-1,var,1,1,2017-09-29 20:11:07,100.000000000000000000,5ca91167-21c2-4c47-adf1-a94d7c074ebf
IE/SPO.IE.IE0001RSample2_7018,7018,2016-02-01 00:00:00,2016-03-01 00:00:00,0.240000000000000000,ug.m-2.day-1,var,1,1,2017-09-29 20:11:07,100.000000000000000000,5ca91167-21c2-4c47-adf1-a94d7c074ebf
IE/SPO.IE.IE0001RSample2_7018,7018,2016-03-01 00:00:00,2016-04-01 00:00:00,0.110000000000000000,ug.m-2.day-1,var,1,1,2017-09-29 20:11:07,100.000000000000000000,5ca91167-21c2-4c47-adf1-a94d7c074ebf
IE/SPO.IE.IE0001RSample2_7018,7018,2016-04-01 00:00:00,2016-05-01 00:00:00,0.030000000000000000,ug.m-2.day-1,var,1,1,2017-09-29 20:11:07,100.000000000000000000,5ca91167-21c2-4c47-adf1-a94d7c074ebf
IE/SPO.IE.IE0001RSample2_7018,7018,2016-05-01 00:00:00,2016-06-01 00:00:00,0.130000000000000000,ug.m-2.day-1,var,1,1,2017-09-29 20:11:07,100.000000000000000000,5ca91167-21c2-4c47-adf1-a94d7c074ebf
IE/SPO.IE.IE0001RSample2_7018,7018,2016-06-01 00:00:00,2016-07-01 00:00:00,0.060000000000000000,ug.m-2.day-1,var,1,1,2017-09-29 20:11:07,100.000000000000000000,5ca91167-21c2-4c47-adf1-a94d7c074ebf
IE/SPO.IE.IE0001RSample2_7018,7018,2016-07-01 00:00:00,2016-08-01 00:00:00,0.180000000000000000,ug.m-2.day-1,var,1,1,2017-09-29 20:11:07,100.000000000000000000,5ca91167-21c2-4c47-adf1-a94d7c074ebf
IE/SPO.IE.IE0001RSample2_7018,7018,2016-08-01 00:00:00,2016-09-01 00:00:00,0.140000000000000000,ug.m-2.day-1,var,1,1,2017-09-29 20:11:07,100.000000000000000000,5ca91167-21c2-4c47-adf1-a94d7c074ebf
IE/SPO.IE.IE0001RSample2_7018,7018,2016-09-01 00:00:00,2016-10-01 00:00:00,0.300000000000000000,ug.m-2.day-1,var,1,1,2017-09-29 20:11:07,100.000000000000000000,5ca91167-21c2-4c47-adf1-a94d7c074ebf
IE/SPO.IE.IE0001RSample2_7018,7018,2016-10-01 00:00:00,2016-11-01 00:00:00,0.090000000000000000,ug.m-2.day-1,var,1,1,2017-09-29 20:11:07,100.000000000000000000,5ca91167-21c2-4c47-adf1-a94d7c074ebf
IE/SPO.IE.IE0001RSample2_7018,7018,2016-11-01 00:00:00,2016-12-01 00:00:00,0.160000000000000000,ug.m-2.day-1,var,1,1,2017-09-29 20:11:07,100.000000000000000000,5ca91167-21c2-4c47-adf1-a94d7c074ebf
IE/SPO.IE.IE0001RSample2_7018,7018,2016-12-01 00:00:00,2017-01-01 00:00:00,0.130000000000000000,ug.m-2.day-1,var,1,1,2017-09-29 20:11:07,100.000000000000000000,5ca91167-21c2-4c47-adf1-a94d7c074ebf
IE/SPO.IE.IE0001RSample2_7018,7018,2017-01-01 00:00:00,2017-02-01 00:00:00,0.210000000000000000,ug.m-2.day-1,var,1,1,2018-09-27 18:04:02,100.000000000000000000,07fd591d-0f78-4201-b183-2472d2abf94b
IE/SPO.IE.IE0001RSample2_7018,7018,2017-02-01 00:00:00,2017-03-01 00:00:00,0.190000000000000000,ug.m-2.day-1,var,1,1,2018-09-27 18:04:02,100.000000000000000000,07fd591d-0f78-4201-b183-2472d2abf94b
