Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
IE/SPO.IE.IE001BPSample2_6001,6001,2013-01-01,2013-01-02,15.000000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,2497e4b1-2ab0-45a7-8886-f7eeac48d9b3
IE/SPO.IE.IE001BPSample2_6001,6001,2013-01-02,2013-01-03,6.900000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,2497e4b1-2ab0-45a7-8886-f7eeac48d9b3
IE/SPO.IE.IE001BPSample2_6001,6001,2013-01-03,2013-01-04,21.000000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,2497e4b1-2ab0-45a7-8886-f7eeac48d9b3
IE/SPO.IE.IE001BPSample2_6001,6001,2013-01-04,2013-01-05,21.000000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,2497e4b1-2ab0-45a7-8886-f7eeac48d9b3
IE/SPO.IE.IE001BPSample2_6001,6001,2013-01-05,2013-01-06,8.000000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,2497e4b1-2ab0-45a7-8886-f7eeac48d9b3
IE/SPO.IE.IE001BPSample2_6001,6001,2013-01-06,2013-01-07,5.400000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,2497e4b1-2ab0-45a7-8886-f7eeac48d9b3
IE/SPO.IE.IE001BPSample2_6001,6001,2013-01-07,2013-01-08,8.200000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,2497e4b1-2ab0-45a7-8886-f7eeac48d9b3
IE/SPO.IE.IE001BPSample2_6001,6001,2013-01-08,2013-01-09,4.200000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,2497e4b1-2ab0-45a7-8886-f7eeac48d9b3
IE/SPO.IE.IE001BPSample2_6001,6001,2013-01-09,2013-01-10,4.000000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,2497e4b1-2ab0-45a7-8886-f7eeac48d9b3
IE/SPO.IE.IE001BPSample2_6001,6001,2013-01-10,2013-01-11,6.200000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,2497e4b1-2ab0-45a7-8886-f7eeac48d9b3
