Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
IE/SPO.IE.IE001LMSample1_5,5,2022-01-01,2022-01-02,15.700000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,02ebff5e-486b-4862-9340-3ef9c981052d
IE/SPO.IE.IE001LMSample1_5,5,2022-01-02,2022-01-03,13.700000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,02ebff5e-486b-4862-9340-3ef9c981052d
IE/SPO.IE.IE001LMSample1_5,5,2022-01-03,2022-01-04,12.300000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,02ebff5e-486b-4862-9340-3ef9c981052d
IE/SPO.IE.IE001LMSample1_5,5,2022-01-04,2022-01-05,14.500000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,02ebff5e-486b-4862-9340-3ef9c981052d
IE/SPO.IE.IE001LMSample1_5,5,2022-01-05,2022-01-06,16.100000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,02ebff5e-486b-4862-9340-3ef9c981052d
IE/SPO.IE.IE001LMSample1_5,5,2022-01-06,2022-01-07,5.300000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,02ebff5e-486b-4862-9340-3ef9c981052d
IE/SPO.IE.IE001LMSample1_5,5,2022-01-07,2022-01-08,8.200000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,02ebff5e-486b-4862-9340-3ef9c981052d
IE/SPO.IE.IE001LMSample1_5,5,2022-01-08,2022-01-09,12.900000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,02ebff5e-486b-4862-9340-3ef9c981052d
IE/SPO.IE.IE001LMSample1_5,5,2022-01-09,2022-01-10,12.900000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,02ebff5e-486b-4862-9340-3ef9c981052d
IE/SPO.IE.IE001LMSample1_5,5,2022-01-10,2022-01-11,12.400000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,02ebff5e-486b-4862-9340-3ef9c981052d
