Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-01,2022-01-02,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-02,2022-01-03,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-03,2022-01-04,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-04,2022-01-05,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-05,2022-01-06,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-06,2022-01-07,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-07,2022-01-08,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-08,2022-01-09,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-09,2022-01-10,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-10,2022-01-11,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-11,2022-01-12,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-12,2022-01-13,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-13,2022-01-14,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-14,2022-01-15,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-15,2022-01-16,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-16,2022-01-17,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-17,2022-01-18,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-18,2022-01-19,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
IE/SPO.IE.IE002CMSample2_6001,6001,2022-01-19,2022-01-20,-999.000000000000000000,ug.m-3,day,-1,1,2023-09-26 20:51:45,0E-18,5a3b3e11-a0b6-4628-8959-2e825033ccb6
