Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-01,2023-01-02,7.000000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-02,2023-01-03,11.000000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-03,2023-01-04,2.400000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-04,2023-01-05,8.000000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-05,2023-01-06,6.000000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-06,2023-01-07,4.600000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-07,2023-01-08,4.800000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-08,2023-01-09,6.400000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-09,2023-01-10,7.900000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-10,2023-01-11,3.300000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-11,2023-01-12,6.000000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-12,2023-01-13,9.200000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-13,2023-01-14,6.400000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-14,2023-01-15,3.300000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-15,2023-01-16,5.700000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-16,2023-01-17,8.300000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-17,2023-01-18,11.500000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-18,2023-01-19,4.600000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-19,2023-01-20,10.400000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-20,2023-01-21,20.400000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-21,2023-01-22,3.200000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-22,2023-01-23,1.500000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-23,2023-01-24,2.500000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-24,2023-01-25,4.500000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-25,2023-01-26,9.900000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-26,2023-01-27,10.000000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-27,2023-01-28,10.800000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-28,2023-01-29,7.800000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-29,2023-01-30,5.300000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-30,2023-01-31,7.900000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-01-31,2023-02-01,10.500000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-02-01,2023-02-02,9.000000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-02-02,2023-02-03,3.000000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-02-03,2023-02-04,4.000000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-02-04,2023-02-05,7.700000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-02-05,2023-02-06,18.400000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-02-06,2023-02-07,21.200000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
IE/SPO.IE.IE0030DSample2_6001,6001,2023-02-07,2023-02-08,12.100000000000000000,ug.m-3,day,1,1,2024-09-05 11:18:32,100.000000000000000000,3af3248f-af04-4e19-8135-a8783579f598
