Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
IE/SPO.IE.IE004KYSample1_5,5,2022-01-01,2022-01-02,28.800000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,e68697ff-3459-40aa-85c5-a6df2bbc5da5
IE/SPO.IE.IE004KYSample1_5,5,2022-01-02,2022-01-03,17.500000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,e68697ff-3459-40aa-85c5-a6df2bbc5da5
IE/SPO.IE.IE004KYSample1_5,5,2022-01-03,2022-01-04,18.900000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,e68697ff-3459-40aa-85c5-a6df2bbc5da5
IE/SPO.IE.IE004KYSample1_5,5,2022-01-04,2022-01-05,59.900000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,e68697ff-3459-40aa-85c5-a6df2bbc5da5
IE/SPO.IE.IE004KYSample1_5,5,2022-01-05,2022-01-06,31.600000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,e68697ff-3459-40aa-85c5-a6df2bbc5da5
IE/SPO.IE.IE004KYSample1_5,5,2022-01-06,2022-01-07,11.500000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,e68697ff-3459-40aa-85c5-a6df2bbc5da5
IE/SPO.IE.IE004KYSample1_5,5,2022-01-07,2022-01-08,19.900000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,e68697ff-3459-40aa-85c5-a6df2bbc5da5
IE/SPO.IE.IE004KYSample1_5,5,2022-01-08,2022-01-09,22.400000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,e68697ff-3459-40aa-85c5-a6df2bbc5da5
IE/SPO.IE.IE004KYSample1_5,5,2022-01-09,2022-01-10,30.600000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,e68697ff-3459-40aa-85c5-a6df2bbc5da5
IE/SPO.IE.IE004KYSample1_5,5,2022-01-10,2022-01-11,17.300000000000000000,ug.m-3,day,1,1,2023-09-26 20:51:45,100.000000000000000000,e68697ff-3459-40aa-85c5-a6df2bbc5da5
