Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
IE/SPO.IE.IE007CPSample1_5,5,2020-01-01,2020-01-02,18.500000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-02,2020-01-03,7.700000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-03,2020-01-04,15.900000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-04,2020-01-05,9.200000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-05,2020-01-06,5.600000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-06,2020-01-07,16.900000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-07,2020-01-08,14.000000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-08,2020-01-09,23.400000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-09,2020-01-10,7.300000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-10,2020-01-11,13.100000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-11,2020-01-12,13.100000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-12,2020-01-13,12.000000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-13,2020-01-14,13.800000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-14,2020-01-15,11.700000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-15,2020-01-16,13.700000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-16,2020-01-17,14.600000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-17,2020-01-18,22.800000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-18,2020-01-19,69.800000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-19,2020-01-20,47.100000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-20,2020-01-21,47.400000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-21,2020-01-22,20.300000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-22,2020-01-23,26.200000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-23,2020-01-24,20.000000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-24,2020-01-25,19.100000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-25,2020-01-26,11.900000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-26,2020-01-27,13.600000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-27,2020-01-28,8.200000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-28,2020-01-29,10.300000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-29,2020-01-30,15.700000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-30,2020-01-31,12.100000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-01-31,2020-02-01,11.700000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-02-01,2020-02-02,19.300000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-02-02,2020-02-03,15.600000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-02-03,2020-02-04,13.900000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-02-04,2020-02-05,42.200000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-02-05,2020-02-06,27.900000000000000000,ug.m-3,day,1,1,2021-09-29 11:42:08,100.000000000000000000,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-02-06,2020-02-07,-999.000000000000000000,ug.m-3,day,-1,1,2021-09-29 11:42:08,0E-18,e97ce10e-7fe3-4083-83b7-4ff89019ad95
IE/SPO.IE.IE007CPSample1_5,5,2020-02-07,2020-02-08,-999.000000000000000000,ug.m-3,day,-1,1,2021-09-29 11:42:08,0E-18,e97ce10e-7fe3-4083-83b7-4ff89019ad95
