Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE0001R","IE0001R","Kerry Valentia Observatory","SPO.IE.IE0001RSample1_7","O3","-10.24083","51.93806","10.0","m","rural-remote","background","01/01/2001 00:00:00","","SAM.IE.IE0001RSAMPLE1","1.7","m","0.0","m","100.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE0001RSample1_7","01/01/2001 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE0001R","IE0001R","Kerry Valentia Observatory","SPO.IE.IE0001RSample2_7012","Pb","-10.24083","51.93806","10.0","m","rural-remote","background","01/01/2001 00:00:00","","SAM.IE.IE0001RSAMPLE2","1.7","m","0.0","m","100.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE0001RSample2_7012","01/01/2001 00:00:00","","active","","","","","deposition-wetdry","","ICP-MS","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE0001R","IE0001R","Kerry Valentia Observatory","SPO.IE.IE0001RSample2_7014","Cd","-10.24083","51.93806","10.0","m","rural-remote","background","01/01/2001 00:00:00","","SAM.IE.IE0001RSAMPLE2","1.7","m","0.0","m","100.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE0001RSample2_7014","01/01/2001 00:00:00","","active","","","","","deposition-wetdry","","ICP-MS","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE0001R","IE0001R","Kerry Valentia Observatory","SPO.IE.IE0001RSample2_7015","Ni","-10.24083","51.93806","10.0","m","rural-remote","background","01/01/2001 00:00:00","","SAM.IE.IE0001RSAMPLE2","1.7","m","0.0","m","100.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE0001RSample2_7015","01/01/2001 00:00:00","","active","","","","","deposition-wetdry","","ICP-MS","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE0001R","IE0001R","Kerry Valentia Observatory","SPO.IE.IE0001RSample2_7018","As","-10.24083","51.93806","10.0","m","rural-remote","background","01/01/2001 00:00:00","","SAM.IE.IE0001RSAMPLE2","1.7","m","0.0","m","100.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE0001RSample2_7018","01/01/2001 00:00:00","","active","","","","","deposition-wetdry","","ICP-MS","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001AP","IE001AP","Dublin Inchicore Davitt Road","SPO.IE.IE001APSample1_5","PM10","-6.30902","53.33629","10.0","m","suburban","traffic","01/12/2013 00:00:00","","SAM.IE.IE001APSAMPLE1","3.0","m","1.5","m","3.8","m","","","Transport","","","0","","","","","","","","","","","","","","","SPP.IE.IE001APSample1_5","01/12/2013 00:00:00","","active","","","","","LVSauto1","","gravi","","yes","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001AP","IE001AP","Dublin Inchicore Davitt Road","SPO.IE.IE001APSample1_6001","PM2.5","-6.30902","53.33629","10.0","m","suburban","traffic","01/12/2013 00:00:00","","SAM.IE.IE001APSAMPLE1","3.0","m","1.5","m","3.8","m","","","Transport","","","0","","","","","","","","","","","","","","","SPP.IE.IE001APSample1_6001","01/12/2013 00:00:00","","active","","","","","LVSauto1","","gravi","","yes","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001AP","IE001AP","Dublin Inchicore Davitt Road","SPO.IE.IE001APSample2_8","NO2","-6.30902","53.33629","10.0","m","suburban","traffic","01/12/2013 00:00:00","","SAM.IE.IE001APSAMPLE2","2.9","m","1.5","m","2.9","m","","","Transport","","","0","","","","","","","","","","","","","","","SPP.IE.IE001APSample2_8","01/12/2013 00:00:00","","automatic","chemi","","API200E","","","","","","yes","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001AP","IE001AP","Dublin Inchicore Davitt Road","SPO.IE.IE001APSample2_9","NOX as NO2","-6.30902","53.33629","10.0","m","suburban","traffic","01/12/2013 00:00:00","","SAM.IE.IE001APSAMPLE2","2.9","m","1.5","m","2.9","m","","","Transport","","","0","","","","","","","","","","","","","","","SPP.IE.IE001APSample2_9","01/12/2013 00:00:00","","automatic","chemi","","API200E","","","","","","yes","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001BP","IE001BP","Cork South Link Road Landfill","SPO.IE.IE001BPSample1_1","SO2","-8.47500","51.91111","12.0","m","suburban","background","01/01/2013 00:00:00","","SAM.IE.IE001BPSAMPLE1","2.0","m","0.0","m","6.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001BPSample1_1","01/01/2013 00:00:00","","automatic","UV-FL","","API100E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
